DATE,DAYOFWEEK,SEASON,HOLIDAYPROX,HOLIDAYMETRIC,HOLIDAYNAME,MAXTEMP,MINTEMP,MEANTEMP,INSESSION,INWEIGHTED,INMAREKETS,INDRIVEWT,INCALIFORNIA,INWASHINGTONDC,INCENTRALFL,INDRIVE,INFLORIDA,INMARDIGRAS,INMIDWEST,INNYNJ,INNYNJPA,INNEWENGLAND,INJERSEY,INNORTHWEST,INSOUTHWEST
1/1/12,Sunday,CHRISTMAS PEAK,0,5,New Year's Day,77.29,54.56,65.93,10%,11%,13%,13%,28%,4%,23%,19%,23%,11%,0%,0%,0%,0%,0%,0%,0%
1/2/12,Monday,CHRISTMAS,2,5,,65.46,48.8,57.13,10%,11%,13%,13%,28%,4%,23%,19%,23%,11%,0%,0%,0%,0%,0%,0%,0%
1/3/12,Tuesday,CHRISTMAS,3,0,,48.61,37.54,43.08,65%,74%,78%,74%,57%,92%,79%,64%,70%,70%,53%,100%,100%,68%,100%,100%,86%
1/4/12,Wednesday,CHRISTMAS,4,0,,57.05,33.34,45.2,75%,83%,83%,82%,57%,93%,84%,73%,73%,94%,53%,100%,100%,100%,100%,100%,94%
1/5/12,Thursday,CHRISTMAS,5,0,,68,35.66,51.83,77%,85%,85%,85%,57%,93%,84%,80%,77%,100%,53%,100%,100%,100%,100%,100%,94%
1/6/12,Friday,CHRISTMAS,6,0,,70.78,45.39,58.09,76%,84%,85%,84%,57%,93%,84%,78%,75%,100%,53%,100%,100%,88%,100%,100%,94%
1/7/12,Saturday,CHRISTMAS,7,0,,72.39,46.29,59.34,76%,84%,85%,84%,57%,93%,84%,78%,75%,100%,53%,100%,100%,88%,100%,100%,94%
1/8/12,Sunday,CHRISTMAS,8,0,,76.33,48.73,62.53,91%,95%,97%,96%,84%,99%,100%,92%,94%,100%,93%,100%,100%,100%,100%,100%,99%
1/9/12,Monday,CHRISTMAS,8,0,,76,52.67,64.34,91%,95%,97%,96%,84%,99%,100%,92%,94%,100%,93%,100%,100%,100%,100%,100%,99%
1/10/12,Tuesday,WINTER,7,0,,77.45,53.41,65.43,92%,97%,99%,98%,84%,99%,100%,99%,98%,100%,93%,100%,100%,100%,100%,100%,99%
1/11/12,Wednesday,WINTER,6,0,,71.06,58.6,64.83,92%,97%,99%,98%,84%,99%,100%,99%,98%,100%,93%,100%,100%,100%,100%,100%,99%
1/12/12,Thursday,MARTIN LUTHER KING JUNIOR DAY,5,0,,76.7,53.72,65.21,92%,97%,99%,98%,84%,99%,100%,99%,98%,100%,93%,100%,100%,100%,100%,100%,99%
1/13/12,Friday,MARTIN LUTHER KING JUNIOR DAY,4,0,,63.63,48.44,56.04,89%,93%,96%,94%,84%,99%,92%,96%,98%,87%,93%,100%,100%,100%,100%,100%,91%
1/14/12,Saturday,MARTIN LUTHER KING JUNIOR DAY,3,2,,55.74,41.78,48.76,89%,93%,96%,94%,84%,99%,92%,96%,98%,87%,93%,100%,100%,100%,100%,100%,91%
1/15/12,Sunday,MARTIN LUTHER KING JUNIOR DAY,2,2,,67.09,35.95,51.52,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
1/16/12,Monday,MARTIN LUTHER KING JUNIOR DAY,0,0,"Birthday of Martin Luther King, Jr.",70.94,44.13,57.54,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
1/17/12,Tuesday,MARTIN LUTHER KING JUNIOR DAY,2,2,,75.41,49.48,62.44,91%,92%,90%,91%,89%,98%,77%,91%,87%,100%,100%,100%,100%,100%,100%,100%,99%
1/18/12,Wednesday,MARTIN LUTHER KING JUNIOR DAY,3,2,,75.78,53.14,64.46,94%,98%,99%,99%,89%,99%,100%,99%,98%,100%,100%,100%,100%,100%,100%,100%,99%
1/19/12,Thursday,MARTIN LUTHER KING JUNIOR DAY,4,2,,71.11,49.44,60.28,94%,98%,99%,99%,89%,99%,100%,99%,98%,100%,100%,100%,100%,100%,100%,100%,99%
1/20/12,Friday,MARTIN LUTHER KING JUNIOR DAY,5,0,,75.65,44.62,60.14,86%,90%,66%,82%,89%,85%,68%,75%,65%,100%,93%,100%,100%,84%,100%,100%,95%
1/21/12,Saturday,WINTER,6,0,,75.8,52.25,64.03,86%,90%,66%,82%,89%,85%,68%,75%,65%,100%,93%,100%,100%,84%,100%,100%,95%
1/22/12,Sunday,WINTER,7,0,,78.79,50.05,64.42,85%,88%,91%,89%,79%,57%,90%,95%,93%,96%,91%,100%,100%,100%,100%,100%,99%
1/23/12,Monday,WINTER,8,0,,80.56,54.96,67.76,85%,88%,91%,89%,79%,57%,90%,95%,93%,96%,91%,100%,100%,100%,100%,100%,99%
1/24/12,Tuesday,WINTER,9,0,,81.74,59.29,70.52,94%,97%,99%,98%,83%,99%,100%,99%,98%,100%,100%,100%,100%,100%,100%,100%,99%
1/25/12,Wednesday,WINTER,10,0,,81.35,58.89,70.12,94%,98%,99%,98%,89%,99%,100%,99%,98%,100%,100%,97%,97%,100%,0%,100%,99%
1/26/12,Thursday,WINTER,11,0,,82.14,60.27,71.21,94%,98%,99%,99%,89%,99%,100%,99%,98%,100%,100%,100%,100%,100%,100%,100%,99%
1/27/12,Friday,WINTER,10,0,,71.4,59.35,65.38,90%,86%,85%,86%,89%,99%,94%,83%,76%,89%,62%,93%,94%,100%,100%,100%,53%
1/28/12,Saturday,WINTER,9,0,,71.09,49.98,60.54,90%,86%,85%,86%,89%,99%,94%,83%,76%,89%,62%,93%,94%,100%,100%,100%,53%
1/29/12,Sunday,WINTER,8,0,,72.93,52.43,62.68,93%,93%,98%,95%,89%,81%,100%,99%,98%,100%,100%,70%,74%,100%,100%,100%,99%
1/30/12,Monday,WINTER,7,0,,72.33,49.34,60.84,93%,93%,98%,95%,89%,81%,100%,99%,98%,100%,100%,70%,74%,100%,100%,100%,99%
1/31/12,Tuesday,WINTER,6,0,,74.89,51.64,63.27,94%,97%,99%,97%,89%,85%,100%,99%,98%,100%,100%,100%,100%,100%,100%,100%,99%
2/1/12,Wednesday,WINTER,5,0,,78.78,54.31,66.55,94%,98%,99%,99%,89%,99%,100%,99%,98%,100%,100%,100%,100%,100%,100%,100%,99%
2/2/12,Thursday,WINTER,4,0,,80.88,57.91,69.4,94%,98%,99%,99%,89%,99%,100%,99%,98%,100%,100%,100%,100%,100%,100%,100%,99%
2/3/12,Friday,WINTER,3,2,,74.78,61.64,68.21,91%,90%,94%,91%,85%,99%,100%,85%,79%,94%,62%,100%,100%,100%,100%,62%,99%
2/4/12,Saturday,WINTER,2,2,,79.11,62.17,70.64,91%,90%,94%,91%,85%,99%,100%,85%,79%,94%,62%,100%,100%,100%,100%,62%,99%
2/5/12,Sunday,WINTER,0,0,Super Bowl Sunday,81.09,61,71.05,94%,98%,99%,99%,89%,99%,100%,99%,98%,100%,100%,100%,100%,100%,100%,100%,99%
2/6/12,Monday,WINTER,2,2,,77.11,65.14,71.13,94%,98%,99%,99%,89%,99%,100%,99%,98%,100%,100%,100%,100%,100%,100%,100%,99%
2/7/12,Tuesday,WINTER,3,0,,70.2,61.5,65.85,94%,98%,99%,99%,89%,99%,100%,99%,98%,100%,100%,100%,100%,100%,100%,100%,99%
2/8/12,Wednesday,WINTER,4,0,,78.16,57.31,67.74,94%,98%,99%,99%,89%,99%,100%,99%,98%,100%,100%,100%,100%,100%,100%,100%,99%
2/9/12,Thursday,WINTER,5,0,,71.18,56.94,64.06,94%,98%,99%,99%,89%,99%,100%,99%,98%,100%,100%,100%,100%,100%,100%,100%,99%
2/10/12,Friday,WINTER,5,0,,79.03,59.3,69.16,93%,96%,92%,94%,89%,99%,77%,91%,87%,100%,97%,97%,97%,100%,0%,100%,99%
2/11/12,Saturday,WINTER,4,0,,67.46,51.04,59.25,93%,96%,92%,94%,89%,99%,77%,91%,87%,100%,97%,97%,97%,100%,0%,100%,99%
2/12/12,Sunday,WINTER,3,0,,52.13,33.35,42.74,85%,88%,96%,92%,68%,99%,100%,99%,98%,100%,14%,100%,100%,100%,100%,100%,99%
2/13/12,Monday,WINTER,2,0,,66.44,36.1,51.27,85%,88%,96%,92%,68%,99%,100%,99%,98%,100%,14%,100%,100%,100%,100%,100%,99%
2/14/12,Tuesday,WINTER,0,0,Valentine's Day,76.7,49.07,62.89,93%,98%,99%,98%,88%,99%,100%,99%,98%,100%,97%,100%,100%,100%,100%,100%,99%
2/15/12,Wednesday,WINTER,2,1,,81,57.21,69.11,91%,97%,99%,98%,88%,99%,100%,99%,98%,100%,97%,97%,97%,100%,0%,100%,99%
2/16/12,Thursday,PRESIDENTS WEEK,3,0,,81.8,63.21,72.51,91%,96%,99%,97%,88%,99%,100%,97%,98%,96%,97%,100%,100%,100%,100%,100%,99%
2/17/12,Friday,PRESIDENTS WEEK,4,0,,76.41,63.54,69.98,81%,86%,86%,87%,70%,84%,86%,83%,95%,86%,89%,100%,100%,100%,100%,100%,91%
2/18/12,Saturday,PRESIDENTS WEEK,3,4,,76.35,65.18,70.77,81%,86%,86%,87%,70%,84%,86%,83%,95%,86%,89%,100%,100%,100%,100%,100%,91%
2/19/12,Sunday,PRESIDENTS WEEK,2,4,,84.41,64,74.21,16%,15%,25%,20%,7%,0%,40%,20%,28%,18%,43%,0%,0%,3%,0%,0%,6%
2/20/12,Monday,PRESIDENTS WEEK,0,0,Presidents Day,68.54,54.1,61.32,16%,15%,25%,20%,7%,0%,40%,20%,28%,18%,43%,0%,0%,3%,0%,0%,6%
2/21/12,Tuesday,PRESIDENTS WEEK,0,4,Mardi Gras,75.2,50.49,62.85,82%,74%,91%,81%,89%,93%,100%,93%,93%,95%,93%,3%,17%,11%,100%,60%,61%
2/22/12,Wednesday,PRESIDENTS WEEK,0,4,Ash Wednesday,78.78,60.54,69.66,89%,81%,94%,86%,89%,93%,100%,96%,98%,95%,100%,3%,17%,11%,100%,60%,99%
2/23/12,Thursday,PRESIDENTS WEEK,2,4,,84.2,65.97,75.09,89%,82%,94%,87%,89%,93%,100%,96%,98%,95%,100%,3%,17%,11%,100%,60%,93%
2/24/12,Friday,PRESIDENTS WEEK,3,4,,87.9,66.16,77.03,88%,81%,91%,85%,89%,93%,89%,92%,93%,95%,95%,3%,17%,11%,100%,60%,93%
2/25/12,Saturday,PRESIDENTS WEEK,4,4,,70.38,55.51,62.94,88%,81%,91%,85%,89%,93%,89%,92%,93%,95%,95%,3%,17%,11%,100%,60%,93%
2/26/12,Sunday,PRESIDENTS WEEK,5,0,,68.83,55.15,61.99,92%,97%,99%,98%,89%,93%,100%,99%,98%,100%,100%,100%,100%,89%,100%,100%,99%
2/27/12,Monday,WINTER,6,0,,82.29,64.74,73.52,92%,97%,99%,98%,89%,93%,100%,99%,98%,100%,100%,100%,100%,89%,100%,100%,99%
2/28/12,Tuesday,WINTER,7,0,,77.71,64,70.85,93%,98%,99%,98%,89%,99%,100%,99%,98%,100%,100%,100%,100%,89%,100%,100%,99%
2/29/12,Wednesday,WINTER,8,0,,84.09,63.96,74.03,93%,98%,99%,98%,89%,99%,100%,99%,98%,100%,100%,100%,100%,89%,100%,100%,99%
3/1/12,Thursday,SPRING,9,0,,85.71,65.97,75.84,93%,98%,99%,98%,89%,99%,100%,99%,98%,100%,100%,100%,100%,89%,100%,100%,99%
3/2/12,Friday,SPRING,10,0,,84.49,63.87,74.18,90%,94%,98%,95%,89%,99%,100%,99%,98%,100%,60%,100%,100%,89%,100%,100%,95%
3/3/12,Saturday,SPRING,11,0,,87.9,66.94,77.42,90%,94%,98%,95%,89%,99%,100%,99%,98%,100%,60%,100%,100%,89%,100%,100%,95%
3/4/12,Sunday,SPRING,12,0,,73.94,52.79,63.36,90%,92%,90%,91%,89%,99%,77%,90%,85%,100%,62%,100%,100%,97%,100%,100%,94%
3/5/12,Monday,SPRING,13,0,,74.19,44.84,59.52,90%,92%,90%,91%,89%,99%,77%,90%,85%,100%,62%,100%,100%,97%,100%,100%,94%
3/6/12,Tuesday,SPRING,12,0,,73.5,52.26,62.88,92%,97%,99%,98%,89%,99%,100%,97%,96%,100%,100%,100%,100%,97%,100%,100%,94%
3/7/12,Wednesday,SPRING,11,0,,76.33,60.3,68.32,93%,97%,99%,98%,89%,99%,100%,97%,96%,100%,100%,100%,100%,100%,100%,100%,94%
3/8/12,Thursday,SPRING,0,0,Purim,82.09,61.98,72.04,93%,97%,99%,98%,89%,99%,100%,97%,96%,100%,100%,100%,100%,100%,100%,100%,94%
3/9/12,Friday,SPRING,9,0,,82.94,67.45,75.2,88%,93%,95%,93%,89%,99%,100%,87%,91%,100%,93%,100%,100%,100%,100%,100%,91%
3/10/12,Saturday,SPRING,8,0,,79.47,67.34,73.41,88%,93%,95%,93%,89%,99%,100%,87%,91%,100%,93%,100%,100%,100%,100%,100%,91%
3/11/12,Sunday,SPRING,7,0,,69.85,66,67.93,76%,76%,74%,73%,89%,99%,63%,58%,53%,14%,100%,100%,100%,100%,100%,100%,80%
3/12/12,Monday,SPRING,6,0,,78.22,62.62,70.42,76%,76%,74%,73%,89%,99%,63%,58%,53%,14%,100%,100%,100%,100%,100%,100%,80%
3/13/12,Tuesday,SPRING,5,0,,79.96,60.12,70.04,77%,77%,75%,75%,89%,99%,63%,66%,53%,14%,100%,100%,100%,100%,100%,100%,80%
3/14/12,Wednesday,SPRING,4,0,,81.69,60.62,71.16,77%,77%,75%,75%,89%,99%,63%,66%,53%,14%,100%,100%,100%,100%,100%,100%,80%
3/15/12,Thursday,SPRING,3,0,,82.87,63.28,73.08,75%,77%,73%,73%,89%,99%,58%,65%,50%,14%,100%,100%,100%,100%,100%,100%,80%
3/16/12,Friday,SPRING,2,0,,82.22,61.95,72.09,71%,74%,69%,70%,85%,99%,50%,62%,47%,14%,100%,100%,100%,100%,100%,60%,74%
3/17/12,Saturday,SPRING,0,0,St. Patrick's Day,82.24,59.29,70.77,71%,74%,69%,70%,85%,99%,50%,62%,47%,14%,100%,100%,100%,100%,100%,60%,74%
3/18/12,Sunday,SPRING,2,1,,82.64,60.62,71.63,85%,91%,75%,84%,88%,95%,70%,75%,68%,96%,97%,100%,100%,100%,100%,100%,90%
3/19/12,Monday,SPRING,3,0,,82.44,60.75,71.6,85%,91%,75%,84%,88%,95%,70%,75%,68%,96%,97%,100%,100%,100%,100%,100%,90%
3/20/12,Tuesday,SPRING,4,0,,82.1,62.82,72.46,86%,91%,79%,86%,88%,93%,78%,78%,72%,96%,97%,100%,100%,100%,100%,100%,98%
3/21/12,Wednesday,SPRING,5,0,,79.2,65.34,72.27,85%,91%,79%,86%,88%,93%,78%,78%,72%,96%,97%,97%,97%,100%,0%,100%,91%
3/22/12,Thursday,SPRING,6,0,,84.42,64.8,74.61,87%,92%,79%,87%,88%,99%,78%,78%,72%,96%,97%,100%,100%,100%,100%,100%,98%
3/23/12,Friday,SPRING,7,0,,84.72,64.79,74.76,83%,88%,54%,77%,88%,99%,57%,71%,62%,92%,89%,93%,94%,100%,100%,100%,98%
3/24/12,Saturday,SPRING,8,0,,84.5,66.05,75.28,83%,88%,54%,77%,88%,99%,57%,71%,62%,92%,89%,93%,94%,100%,100%,100%,98%
3/25/12,Sunday,SPRING,9,0,,82.24,68.48,75.36,81%,89%,68%,83%,83%,99%,59%,85%,79%,100%,81%,100%,100%,100%,100%,40%,93%
3/26/12,Monday,SPRING,10,0,,81.98,58.58,70.28,81%,89%,68%,83%,83%,99%,59%,85%,79%,100%,81%,100%,100%,100%,100%,40%,93%
3/27/12,Tuesday,SPRING,11,0,,83.98,58.34,71.16,82%,90%,68%,84%,83%,99%,59%,85%,79%,100%,81%,100%,100%,100%,100%,40%,97%
3/28/12,Wednesday,SPRING,10,0,,82.16,61.95,72.06,82%,89%,67%,83%,83%,99%,59%,85%,79%,100%,81%,100%,100%,100%,100%,40%,97%
3/29/12,Thursday,SPRING,9,0,,83,61.19,72.1,82%,88%,67%,82%,83%,99%,59%,85%,79%,100%,81%,100%,100%,100%,100%,40%,97%
3/30/12,Friday,EASTER,8,0,,85.39,62.8,74.1,73%,78%,58%,70%,73%,71%,59%,63%,48%,100%,79%,100%,100%,100%,100%,40%,97%
3/31/12,Saturday,EASTER,0,0,Cesar Chavez Day,83.6,64.91,74.26,73%,78%,58%,70%,73%,71%,59%,63%,48%,100%,79%,100%,100%,100%,100%,40%,97%
4/1/12,Sunday,EASTER,6,0,,86.33,63.94,75.13,64%,60%,81%,67%,51%,29%,88%,70%,92%,92%,49%,97%,83%,100%,0%,100%,51%
4/2/12,Monday,EASTER,5,0,,88.3,67.28,77.79,64%,60%,81%,67%,51%,29%,88%,70%,92%,92%,49%,97%,83%,100%,0%,100%,51%
4/3/12,Tuesday,EASTER,4,0,,90.3,65.92,78.11,66%,62%,82%,69%,52%,29%,92%,72%,94%,95%,49%,97%,83%,100%,0%,100%,51%
4/4/12,Wednesday,EASTER,3,0,,89.91,64.42,77.16,65%,62%,82%,69%,52%,29%,92%,72%,94%,95%,49%,97%,83%,100%,0%,100%,51%
4/5/12,Thursday,EASTER,2,0,,86.12,67.45,76.79,59%,60%,81%,67%,52%,29%,92%,68%,88%,95%,49%,97%,83%,100%,0%,100%,38%
4/6/12,Friday,EASTER,0,0,Good Friday,84.43,66,75.22,30%,22%,34%,23%,44%,7%,37%,17%,17%,26%,42%,0%,0%,40%,0%,100%,11%
4/7/12,Saturday,EASTER,0,0,Passover,78.15,61.94,70.05,30%,22%,34%,23%,44%,7%,37%,17%,17%,26%,42%,0%,0%,40%,0%,100%,11%
4/8/12,Sunday,EASTER,0,0,Easter Sunday,79.54,60.43,69.99,66%,64%,87%,73%,65%,5%,100%,95%,93%,87%,47%,3%,17%,100%,100%,100%,65%
4/9/12,Monday,EASTER,0,5,Easter Monday,81.81,57.58,69.7,66%,64%,87%,73%,65%,5%,100%,95%,93%,87%,47%,3%,17%,100%,100%,100%,65%
4/10/12,Tuesday,EASTER,2,5,,84.63,61.75,73.19,80%,77%,92%,83%,71%,73%,100%,99%,98%,100%,54%,3%,17%,100%,100%,100%,78%
4/11/12,Wednesday,EASTER,3,5,,84.87,63.08,73.98,80%,77%,92%,83%,71%,73%,100%,99%,98%,100%,54%,3%,17%,100%,100%,100%,78%
4/12/12,Thursday,EASTER,4,0,,81.76,63.64,72.7,80%,77%,92%,83%,71%,73%,100%,99%,98%,100%,54%,3%,17%,100%,100%,100%,78%
4/13/12,Friday,EASTER,5,0,,83.23,63.98,73.61,78%,73%,91%,80%,71%,73%,100%,99%,98%,100%,17%,3%,17%,97%,100%,62%,78%
4/14/12,Saturday,EASTER,6,0,,75.09,65.83,70.46,78%,73%,91%,80%,71%,73%,100%,99%,98%,100%,17%,3%,17%,97%,100%,62%,78%
4/15/12,Sunday,EASTER,7,0,,81.92,61.98,71.95,86%,93%,98%,95%,79%,98%,100%,96%,98%,91%,100%,100%,100%,11%,100%,60%,99%
4/16/12,Monday,EASTER,8,0,,82.93,61.47,72.2,86%,93%,98%,95%,79%,98%,100%,96%,98%,91%,100%,100%,100%,11%,100%,60%,99%
4/17/12,Tuesday,EASTER,9,0,,83.52,60.74,72.13,88%,94%,98%,95%,79%,99%,100%,96%,98%,95%,100%,100%,100%,11%,100%,60%,99%
4/18/12,Wednesday,SPRING,10,0,,84.85,63.76,74.3,88%,93%,98%,95%,79%,99%,100%,96%,98%,95%,81%,100%,100%,11%,100%,60%,99%
4/19/12,Thursday,SPRING,11,0,,82.6,67.54,75.07,88%,93%,98%,95%,79%,99%,100%,96%,98%,95%,81%,100%,100%,11%,100%,60%,99%
4/20/12,Friday,SPRING,12,0,,83.89,65.7,74.8,86%,93%,98%,95%,79%,99%,100%,94%,98%,91%,100%,100%,100%,11%,100%,60%,99%
4/21/12,Saturday,SPRING,13,0,,80.92,65.84,73.38,86%,93%,98%,95%,79%,99%,100%,94%,98%,91%,100%,100%,100%,11%,100%,60%,99%
4/22/12,Sunday,SPRING,14,0,,79.33,62.47,70.9,90%,96%,99%,97%,79%,99%,100%,96%,98%,96%,100%,100%,100%,89%,100%,100%,99%
4/23/12,Monday,SPRING,13,0,,72.54,55.92,64.23,90%,96%,99%,97%,79%,99%,100%,96%,98%,96%,100%,100%,100%,89%,100%,100%,99%
4/24/12,Tuesday,SPRING,12,0,,72.24,50.6,61.42,90%,95%,98%,97%,83%,99%,100%,99%,98%,100%,100%,100%,86%,89%,100%,100%,99%
4/25/12,Wednesday,SPRING,11,0,,80,48.53,64.27,91%,97%,99%,98%,83%,99%,100%,99%,98%,100%,100%,100%,100%,89%,100%,100%,99%
4/26/12,Thursday,SPRING,10,0,,85.06,55.84,70.45,91%,95%,98%,97%,83%,85%,100%,99%,98%,100%,100%,100%,100%,89%,100%,100%,99%
4/27/12,Friday,SPRING,9,0,,87.97,61.37,74.67,90%,95%,98%,97%,83%,99%,100%,99%,98%,84%,100%,100%,100%,89%,100%,100%,99%
4/28/12,Saturday,SPRING,8,0,,87.64,63.88,75.76,90%,95%,98%,97%,83%,99%,100%,99%,98%,84%,100%,100%,100%,89%,100%,100%,99%
4/29/12,Sunday,SPRING,7,0,,84.66,68.61,76.63,91%,96%,94%,95%,83%,99%,84%,93%,90%,100%,100%,100%,100%,100%,100%,100%,99%
4/30/12,Monday,SPRING,6,0,,85.7,69.48,77.59,91%,96%,94%,95%,83%,99%,84%,93%,90%,100%,100%,100%,100%,100%,100%,100%,99%
5/1/12,Tuesday,SPRING,5,0,,85.37,70.45,77.91,94%,98%,99%,99%,88%,99%,100%,99%,98%,100%,100%,100%,100%,100%,100%,100%,99%
5/2/12,Wednesday,SPRING,4,0,,87.3,67.81,77.56,94%,98%,99%,99%,88%,99%,100%,99%,98%,100%,100%,100%,100%,100%,100%,100%,99%
5/3/12,Thursday,SPRING,3,0,,89.11,67.47,78.29,94%,97%,99%,98%,79%,99%,100%,99%,98%,100%,100%,100%,100%,100%,100%,100%,99%
5/4/12,Friday,SPRING,2,0,,86.41,67.95,77.18,92%,93%,98%,95%,78%,99%,100%,99%,98%,100%,62%,100%,100%,100%,100%,100%,99%
5/5/12,Saturday,SPRING,0,0,Cinco De Mayo,90.22,67.22,78.72,92%,93%,98%,95%,78%,99%,100%,99%,98%,100%,62%,100%,100%,100%,100%,100%,99%
5/6/12,Sunday,SPRING,2,1,,90.64,70.27,80.46,91%,96%,99%,97%,79%,98%,100%,99%,98%,100%,91%,100%,100%,100%,100%,100%,99%
5/7/12,Monday,SPRING,3,0,,87.07,69.85,78.46,91%,96%,99%,97%,79%,98%,100%,99%,98%,100%,91%,100%,100%,100%,100%,100%,99%
5/8/12,Tuesday,SPRING,4,0,,87.83,66.59,77.21,94%,98%,99%,99%,89%,99%,100%,99%,98%,100%,100%,100%,100%,100%,100%,100%,99%
5/9/12,Wednesday,SPRING,5,0,,85.81,68.35,77.08,94%,98%,99%,99%,89%,99%,100%,99%,98%,100%,100%,100%,100%,100%,100%,100%,99%
5/10/12,Thursday,SPRING,4,0,,87.11,70.14,78.63,94%,98%,99%,99%,89%,99%,100%,99%,98%,100%,100%,100%,100%,100%,100%,100%,99%
5/11/12,Friday,SPRING,3,0,,84.85,68.18,76.52,94%,98%,99%,99%,89%,99%,100%,99%,98%,100%,100%,100%,100%,100%,100%,100%,99%
5/12/12,Saturday,SPRING,2,0,,85.05,65.81,75.43,94%,98%,99%,99%,89%,99%,100%,99%,98%,100%,100%,100%,100%,100%,100%,100%,99%
5/13/12,Sunday,SPRING,0,0,Mother's Day,82.11,65.91,74.01,94%,98%,99%,98%,89%,99%,100%,99%,98%,100%,97%,100%,100%,100%,100%,100%,99%
5/14/12,Monday,SPRING,2,1,,84.48,71.3,77.89,94%,98%,99%,98%,89%,99%,100%,99%,98%,100%,97%,100%,100%,100%,100%,100%,99%
5/15/12,Tuesday,SPRING,3,0,,91.09,68.77,79.93,94%,98%,99%,98%,89%,99%,100%,99%,98%,100%,97%,100%,100%,100%,100%,100%,99%
5/16/12,Wednesday,SPRING,4,0,,80.15,68.92,74.54,93%,97%,99%,98%,89%,99%,100%,99%,98%,100%,97%,100%,100%,100%,100%,100%,99%
5/17/12,Thursday,SPRING,5,0,,86.73,69.3,78.02,93%,97%,99%,98%,89%,99%,100%,99%,98%,100%,97%,100%,100%,100%,100%,100%,99%
5/18/12,Friday,SPRING,6,0,,88.13,67.18,77.66,91%,95%,98%,97%,89%,85%,100%,99%,98%,100%,97%,100%,100%,100%,100%,100%,99%
5/19/12,Saturday,SPRING,7,0,,86.02,70.31,78.16,91%,95%,98%,97%,89%,85%,100%,99%,98%,100%,97%,100%,100%,100%,100%,100%,99%
5/20/12,Sunday,SPRING,8,0,,89.14,68.28,78.71,89%,94%,98%,95%,88%,99%,100%,93%,98%,100%,100%,100%,100%,100%,100%,100%,99%
5/21/12,Monday,SPRING,8,0,,87.87,64.66,76.27,89%,94%,98%,95%,88%,99%,100%,93%,98%,100%,100%,100%,100%,100%,100%,100%,99%
5/22/12,Tuesday,SPRING,7,0,,90.89,67.96,79.43,89%,90%,96%,93%,85%,99%,100%,93%,98%,100%,62%,100%,100%,100%,100%,100%,99%
5/23/12,Wednesday,SPRING,6,0,,90.88,68.95,79.91,88%,93%,96%,94%,85%,99%,100%,88%,94%,100%,100%,100%,100%,100%,100%,100%,99%
5/24/12,Thursday,SPRING,5,0,,87.99,71.14,79.57,79%,76%,82%,77%,65%,99%,77%,69%,75%,96%,100%,3%,17%,100%,100%,100%,93%
5/25/12,Friday,SPRING,4,3,,92.01,71.78,81.9,76%,73%,80%,74%,65%,98%,77%,62%,70%,96%,100%,3%,17%,100%,100%,100%,85%
5/26/12,Saturday,MEMORIAL DAY,3,3,,91.33,70.48,80.91,76%,73%,80%,74%,65%,98%,77%,62%,70%,96%,100%,3%,17%,100%,100%,100%,85%
5/27/12,Sunday,MEMORIAL DAY,0,3,Shavuot,89.71,72.75,81.23,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
5/28/12,Monday,MEMORIAL DAY,0,0,Memorial Day,83.89,73.34,78.62,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
5/29/12,Tuesday,MEMORIAL DAY,2,3,,83.59,72.56,78.08,81%,86%,93%,89%,81%,99%,100%,78%,93%,100%,100%,100%,100%,100%,100%,100%,74%
5/30/12,Wednesday,SPRING,3,0,,90.8,74.5,82.65,81%,86%,92%,88%,81%,99%,96%,77%,91%,100%,100%,100%,100%,100%,100%,100%,74%
5/31/12,Thursday,SPRING,4,0,,91.09,73.45,82.27,74%,75%,77%,74%,81%,99%,65%,60%,77%,65%,62%,100%,100%,100%,100%,100%,74%
6/1/12,Friday,SPRING,5,0,,78.83,70.72,74.78,64%,58%,69%,60%,71%,92%,65%,46%,65%,45%,62%,3%,17%,100%,100%,100%,66%
6/2/12,Saturday,SPRING,6,0,,90.76,71.3,81.03,64%,58%,69%,60%,71%,92%,65%,46%,65%,45%,62%,3%,17%,100%,100%,100%,66%
6/3/12,Sunday,SPRING,7,0,,90.58,70.6,80.59,63%,67%,79%,71%,80%,91%,80%,62%,88%,28%,62%,100%,100%,100%,100%,78%,54%
6/4/12,Monday,SPRING,8,0,,91.19,70.61,80.9,63%,67%,79%,71%,80%,91%,80%,62%,88%,28%,62%,100%,100%,100%,100%,78%,54%
6/5/12,Tuesday,SPRING,9,0,,86.17,74,80.09,62%,59%,77%,65%,80%,91%,80%,62%,88%,28%,62%,3%,17%,100%,100%,78%,54%
6/6/12,Wednesday,SPRING,10,0,,83.91,72.47,78.19,59%,60%,72%,63%,80%,91%,80%,43%,61%,28%,60%,100%,100%,100%,100%,78%,16%
6/7/12,Thursday,SPRING,11,0,,82.89,72.09,77.49,45%,36%,57%,42%,42%,83%,57%,30%,42%,8%,22%,3%,17%,100%,100%,78%,12%
